pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
4161,0.78,#191e1c,0.11,#565149,0.03,#4a3e31,0.03,#7f6754,0.02,#3f3226,0.02,#848480,0.02,#8d7664,0.01,#1d313d
4162,0.79,#181e1b,0.11,#58534a,0.03,#4d3f31,0.03,#826956,0.01,#8f7765,0.01,#878682,0.01,#423426,0.01,#304044
4163,0.79,#181d1b,0.11,#5a544a,0.03,#4e4031,0.02,#856c59,0.02,#8f7865,0.01,#433426,0.01,#8c8883,0.01,#334143
4164,0.78,#191e1b,0.11,#5c564c,0.03,#4f4132,0.03,#866c5a,0.02,#907966,0.01,#443627,0.01,#304347,0.01,#8d8983
4165,0.78,#1a1f1c,0.12,#665e54,0.03,#8f7664,0.03,#564737,0.02,#4a3b2d,0.01,#37494d,0.01,#1d3745,0.0,#a19a91
4166,0.77,#1a1f1c,0.13,#6e655a,0.03,#5b4b3a,0.02,#947b69,0.02,#4e3e2f,0.01,#3d4c4f,0.01,#b1a9a0,0.01,#283c48
4167,0.73,#1a1f1c,0.15,#6a645b,0.03,#937a69,0.03,#5a4b3b,0.02,#4d3e30,0.02,#3e4c50,0.01,#afa89f,0.01,#2c3e48
4168,0.67,#1b201d,0.19,#69645d,0.04,#3e4b4f,0.03,#5a4b3b,0.03,#937a69,0.02,#4e3f30,0.02,#2f3f46,0.01,#b3aba2
4169,0.62,#1c201d,0.22,#68645d,0.05,#3f4c4f,0.03,#5b4c3c,0.02,#314047,0.02,#4e3f31,0.02,#947b69,0.01,#b6ada2
4170,0.61,#1d211e,0.22,#66635c,0.06,#3f4c4f,0.03,#5a4c3c,0.03,#314047,0.03,#937a68,0.03,#4e3f31,0.01,#b1a89f
4171,0.59,#1e221e,0.23,#64625b,0.08,#3e4b4d,0.03,#584a3b,0.03,#937a68,0.02,#4e3e2f,0.02,#2c3e47,0.01,#b2a99f
4172,0.39,#333734,0.28,#c6e1d7,0.21,#6e7774,0.07,#565349,0.02,#535a58,0.01,#88a0a4,0.01,#a1a091,0.01,#726150
4173,0.4,#323734,0.27,#c5e1d7,0.22,#6d7673,0.06,#565249,0.02,#869fa3,0.02,#535958,0.01,#a09f90,0.01,#736150
4174,0.41,#323734,0.27,#c5e0d6,0.22,#6d7672,0.05,#585248,0.02,#869ea3,0.01,#535a58,0.01,#a19f90,0.01,#746150
4175,0.39,#333734,0.27,#c5e0d6,0.22,#6f7773,0.06,#585248,0.02,#879fa4,0.02,#545a58,0.01,#a2a090,0.01,#766250
4176,0.4,#343835,0.27,#c5dfd5,0.23,#6e7773,0.05,#595147,0.02,#88a0a5,0.01,#706050,0.01,#a3a091,0.01,#535958
4177,0.39,#343835,0.26,#c4ddd2,0.25,#6b736f,0.04,#594e42,0.02,#879ea3,0.01,#3b5157,0.01,#715d4d,0.01,#505653
4178,0.41,#343936,0.25,#6c7570,0.23,#c4dbd1,0.05,#565046,0.02,#89a0a4,0.02,#6f5e4f,0.01,#a19d8e,0.01,#93adaf
4179,0.42,#343936,0.26,#6d7772,0.2,#c3dad0,0.06,#565047,0.02,#505956,0.02,#8aa1a5,0.01,#9f9c8d,0.01,#73604f
4180,0.45,#323734,0.28,#6d7671,0.16,#c3dad0,0.05,#584e42,0.02,#4f5854,0.02,#3c5257,0.01,#a09e8f,0.01,#8ba1a4
4181,0.48,#313633,0.27,#6b756f,0.13,#c2d7cd,0.07,#544f45,0.02,#9c9d8f,0.02,#6d5d4e,0.01,#88a0a4,0.01,#1e4a60
4182,0.49,#313532,0.28,#6c756f,0.1,#bfd5cb,0.07,#544f45,0.02,#9c9d8e,0.01,#715e4d,0.01,#4e5754,0.01,#88a0a4
4183,0.53,#313632,0.29,#6d766f,0.08,#bcd1c7,0.04,#594f43,0.02,#375158,0.01,#9d9d8e,0.01,#725e4c,0.01,#88a0a2
4184,0.54,#303431,0.3,#6c756e,0.06,#b9cfc5,0.05,#574e43,0.01,#715d4c,0.01,#9d9c8c,0.01,#2c4c5a,0.01,#869fa2
