pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
11828,0.56,#10130e,0.28,#3b3a2f,0.06,#2e3027,0.04,#2a2b20,0.02,#7a624d,0.02,#6c5542,0.01,#654e3c,0.0,#362c21
11829,0.63,#121510,0.17,#3e3e33,0.09,#363429,0.06,#2e3126,0.03,#6b5441,0.01,#7c624d,0.01,#352a21,0.0,#2f342e
11830,0.6,#11140f,0.19,#3e3d33,0.09,#2d2f25,0.08,#363428,0.03,#755d49,0.01,#68513f,0.01,#2e342d,0.0,#342821
11831,0.59,#11140f,0.2,#3d3d32,0.08,#2d2f24,0.07,#353327,0.02,#765e49,0.02,#68513f,0.01,#2d332d,0.0,#332820
11832,0.6,#11140f,0.19,#3d3d33,0.09,#353328,0.07,#2c2e24,0.03,#67513e,0.02,#775e4a,0.0,#332820,0.0,#2d332d
11833,0.57,#11140f,0.24,#3e3e33,0.08,#2c2e24,0.07,#363327,0.02,#745b48,0.02,#66503e,0.01,#2d332d,0.0,#33271f
11834,0.82,#1a1b15,0.1,#6d675b,0.03,#524a3a,0.01,#4f4436,0.01,#aaa292,0.01,#47493d,0.01,#4a4b42,0.0,#969287
11835,0.86,#171913,0.08,#7a7365,0.04,#dfcfb5,0.0,#5d5342,0.0,#594a3b,0.0,#ab9c85,0.0,#b2a289,0.0,#52514b
11836,0.83,#181914,0.1,#746e60,0.03,#d2c3a9,0.02,#52483a,0.01,#554e3f,0.01,#4c4d41,0.0,#ac9d86,0.0,#a3947c
11837,0.83,#1a1b15,0.09,#746e61,0.03,#d3c4aa,0.02,#52493b,0.01,#555042,0.01,#4c4e42,0.01,#aea088,0.0,#a3947e
11838,0.84,#1b1c16,0.08,#746e61,0.02,#d1c3aa,0.02,#52493b,0.02,#555042,0.01,#4c4e42,0.01,#aea089,0.0,#a4947e
11839,0.85,#1b1c16,0.07,#746f62,0.02,#d1c4ac,0.02,#52493b,0.02,#555041,0.01,#4c4e42,0.01,#ada088,0.0,#a4957d
11840,0.85,#1b1c16,0.08,#767062,0.02,#d2c4ac,0.02,#534a3b,0.01,#565141,0.01,#4d4f43,0.01,#ada089,0.0,#a49680
11841,0.85,#1b1c16,0.07,#777062,0.02,#d2c4ac,0.02,#53493b,0.01,#575142,0.01,#afa188,0.01,#4d4f43,0.0,#a6967e
11842,0.85,#1b1b16,0.08,#787164,0.02,#d4c6af,0.02,#53493c,0.01,#595143,0.01,#b0a189,0.01,#a5967e,0.0,#4d4e43
11843,0.78,#11130e,0.11,#b2a790,0.06,#675f4d,0.02,#4d4633,0.01,#483c2d,0.01,#8e856f,0.0,#424236,0.0,#8b7f68
11844,0.79,#10120e,0.11,#b2a891,0.05,#665f4d,0.02,#4d4633,0.01,#493d2e,0.0,#8d846f,0.0,#424237,0.0,#8b7e67
11845,0.81,#11130e,0.1,#b6ab94,0.05,#68604e,0.02,#4d4634,0.01,#493d2e,0.0,#8f8770,0.0,#434337,0.0,#8d7e66
11846,0.76,#12140f,0.08,#5d5644,0.08,#a19882,0.03,#48412f,0.01,#877c63,0.01,#43382a,0.01,#3d3d32,0.01,#81735a
11847,0.9,#0f120d,0.05,#b2a78f,0.03,#6a6250,0.0,#958262,0.0,#ac9268,0.0,#494232,0.0,#534a36,0.0,#918874
11848,0.79,#0f120d,0.07,#beb398,0.05,#e0ddcd,0.05,#b2a384,0.03,#8d836d,0.01,#6d624c,0.0,#5a513f,,
11849,0.88,#202019,0.06,#7e7768,0.03,#e8dcc4,0.02,#5a4e3f,0.01,#625949,0.0,#afa28d,0.0,#bdaf98,0.0,#505749
11850,0.87,#1b1c16,0.06,#817868,0.04,#dfd0b5,0.01,#594d3d,0.01,#b0a189,0.0,#b8a88e,0.0,#605645,0.0,#50554a
11851,0.88,#1d1e18,0.06,#7d7565,0.03,#decfb7,0.01,#594c3d,0.01,#5f5746,0.0,#b8aa92,0.0,#afa088,0.0,#505448
11852,0.89,#1d1d17,0.06,#7e7565,0.02,#ded0b8,0.01,#584c3d,0.01,#5f5747,0.0,#b9aa91,0.0,#aea088,0.0,#505347
11853,0.89,#1c1d17,0.06,#7e7665,0.02,#ded1b9,0.01,#584c3f,0.01,#605747,0.0,#baab92,0.0,#afa088,0.0,#505348
11854,0.88,#1b1c16,0.06,#7c7464,0.02,#ded0b9,0.01,#594c3f,0.01,#5c5747,0.0,#515447,0.0,#b9aa91,0.0,#ae9f87
11855,0.53,#10120e,0.33,#3d3c31,0.05,#2d3027,0.05,#2a2b20,0.02,#7a614d,0.02,#6b5541,0.01,#634d3c,0.01,#352c21
11856,0.54,#10130e,0.33,#3e3d32,0.05,#2e3027,0.03,#2b2c21,0.02,#7a624e,0.01,#6c5642,0.01,#66503e,0.0,#372d21
11857,0.51,#11140f,0.34,#3f3e33,0.06,#2e3127,0.03,#7a624e,0.03,#2b2c21,0.01,#4a4f47,0.01,#67513f,0.01,#6c5542
11858,0.53,#131611,0.28,#444438,0.09,#38362a,0.05,#2f3126,0.02,#7c634e,0.02,#6d5643,0.01,#303630,0.0,#372b23
11859,0.5,#121610,0.37,#414135,0.05,#2e2e23,0.03,#2f322a,0.02,#806752,0.02,#725a46,0.01,#6a5340,0.01,#393024
11860,0.55,#121510,0.3,#414034,0.06,#2e2f24,0.02,#755d48,0.02,#373326,0.01,#836954,0.01,#2e332d,0.01,#6b5340
11861,0.59,#12150f,0.24,#424135,0.07,#2f2f25,0.05,#363428,0.03,#775f4a,0.01,#6b5340,0.01,#2e332f,0.01,#886f58
11862,0.66,#141611,0.16,#444337,0.11,#39382c,0.04,#715945,0.01,#846a54,0.01,#362e26,0.01,#303429,0.0,#2f3537
11863,0.94,#1e2019,0.03,#5d4a39,0.02,#735b48,0.0,#816a57,0.0,#4f565b,0.0,#d3d4d4,0.0,#4c5155,,
11864,0.85,#181915,0.05,#807868,0.04,#615b4b,0.03,#575243,0.01,#b0a287,0.01,#e4ddc6,0.01,#c2b69a,0.0,#535652
11865,0.76,#191a15,0.09,#867d6c,0.07,#615b4c,0.03,#575143,0.02,#e1d9c3,0.02,#c0b59a,0.01,#b0a389,0.0,#53554e
11866,0.74,#171813,0.08,#8a806d,0.08,#625c4c,0.04,#575244,0.03,#c2b69e,0.02,#b0a38a,0.02,#e0d9c4,0.0,#54564e
11867,0.73,#151712,0.09,#897f6c,0.09,#615c4b,0.03,#575144,0.03,#c0b59c,0.02,#afa38a,0.02,#e1dac4,,
11868,0.76,#1b1a14,0.16,#7c7361,0.04,#59523e,0.02,#beb19e,0.01,#524936,0.0,#a79a88,0.0,#4f4c39,0.0,#a29683
11869,0.76,#1b1a14,0.15,#7d7361,0.05,#59523e,0.02,#bdb09d,0.01,#a79b88,0.0,#524936,0.0,#a29683,0.0,#4f4c3a
