pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
2875,0.86,#1d1510,0.1,#6a2e27,0.02,#785d4a,0.01,#8c7665,0.01,#f2eae3,0.0,#b39a8a,0.0,#c7b3a1,0.0,#af3635
2876,0.86,#1c1411,0.1,#6a2d27,0.02,#785c4a,0.01,#8a7465,0.01,#f1eae3,0.0,#b29988,0.0,#c8b3a2,0.0,#b03c39
2877,0.85,#1d1410,0.1,#6b2d27,0.02,#795d4b,0.01,#8c7566,0.01,#f2eae4,0.0,#b29786,0.0,#cab4a4,0.0,#b33b38
2878,0.85,#1d1410,0.1,#6b2e28,0.02,#795d4b,0.01,#8b7465,0.01,#f2eae3,0.0,#b29886,0.0,#c9b3a2,0.0,#b33c39
2879,0.85,#1c1410,0.1,#6a2f28,0.02,#785d4b,0.01,#8b7465,0.01,#f2eae4,0.0,#b29887,0.0,#ccb5a2,0.0,#af3b37
2880,0.86,#1c1410,0.1,#6a2e28,0.02,#785d4b,0.01,#8b7566,0.01,#f2ebe4,0.0,#b39b8a,0.0,#c7b4a3,0.0,#ae3736
2881,0.85,#1d1511,0.1,#6b2f27,0.02,#795c4b,0.01,#8a7364,0.01,#f2ebe4,0.0,#b49b89,0.0,#c7b4a2,0.0,#af3837
2882,0.85,#1c1410,0.1,#6a2e27,0.02,#795c4a,0.01,#8a7364,0.01,#f1eae3,0.0,#b29a88,0.0,#cfb6a1,0.0,#ac3835
2883,0.85,#1c1410,0.1,#6a2e27,0.02,#785d4b,0.01,#8a7465,0.01,#f2ebe3,0.0,#b39b89,0.0,#c7b3a2,0.0,#ae3835
2884,0.85,#1c1411,0.1,#6a2e28,0.02,#785d4c,0.01,#8a7566,0.01,#f1eae3,0.0,#b29a89,0.0,#ccb7a1,0.0,#b03936
2885,0.85,#1c1410,0.1,#6a2e27,0.02,#795d4a,0.01,#8a7464,0.01,#f2ebe3,0.0,#b29a88,0.0,#ccb6a1,0.0,#b03a36
2886,0.85,#1c1410,0.1,#6a2f27,0.02,#795d4b,0.01,#8a7263,0.01,#f2ebe3,0.0,#b19785,0.0,#cbb6a3,0.0,#b33f3c
2887,0.85,#1c1410,0.1,#692e27,0.02,#785d4b,0.01,#8b7465,0.01,#f1ebe3,0.0,#b39987,0.0,#cab6a2,0.0,#ad3835
2888,0.85,#1c1510,0.1,#6a2e27,0.02,#785d4a,0.01,#897263,0.01,#f2ebe3,0.0,#b19885,0.0,#cbb6a3,0.0,#ad3936
2889,0.85,#1c1411,0.1,#692e28,0.02,#775c4b,0.01,#8a7264,0.01,#f2ebe3,0.0,#b29887,0.0,#c7b2a2,0.0,#ad3635
2890,0.86,#1c1410,0.1,#692e27,0.02,#785d4a,0.01,#8a7264,0.01,#f2ebe3,0.0,#b19887,0.0,#c6b19e,0.0,#af3837
2891,0.85,#1c1410,0.1,#692f28,0.02,#785c4a,0.01,#897162,0.01,#f2eae3,0.0,#b29787,0.0,#c7b3a2,0.0,#af3a36
2892,0.85,#1c1510,0.1,#692e27,0.02,#775d4a,0.01,#8a7364,0.01,#f1ebe3,0.0,#b29988,0.0,#c6b3a1,0.0,#ae3936
2893,0.8,#0e0b0a,0.13,#630d10,0.03,#be4946,0.03,#a51d20,0.01,#81433c,0.0,#b52f32,0.0,#b1776a,0.0,#73362c
2894,0.8,#0f0b0b,0.13,#640e10,0.02,#be4846,0.02,#a61c21,0.01,#81423c,0.0,#b52f32,0.0,#b17669,0.0,#413835
2895,0.8,#0f0b0b,0.13,#640e10,0.03,#bf4847,0.02,#a61d21,0.01,#81433c,0.0,#b52e32,0.0,#b17569,0.0,#433935
