pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
1235,0.81,#22261c,0.09,#656b6b,0.04,#475250,0.04,#4f5c5b,0.01,#624436,0.0,#6a534f,0.0,#775f42,0.0,#f2e3bf
1236,0.84,#141a15,0.04,#68554e,0.03,#2b3d3e,0.03,#394b4d,0.02,#4f382f,0.02,#a29484,0.01,#876c62,0.01,#907a70
1237,0.84,#141a16,0.04,#65534d,0.03,#374a4b,0.03,#2a3c3e,0.02,#4d372f,0.02,#9f8f81,0.01,#866d63,0.0,#8d786f
1238,0.84,#141a15,0.04,#66544e,0.03,#2b3d3f,0.03,#384b4c,0.03,#4e382f,0.02,#a29384,0.01,#876d64,0.01,#907a71
1239,0.75,#191d14,0.13,#707472,0.04,#4a5f65,0.04,#404e50,0.02,#889494,0.01,#b7c2b4,0.0,#a3aea5,0.0,#674537
1240,0.84,#151a15,0.04,#63534d,0.03,#4e372f,0.03,#384a4b,0.03,#2b3d3e,0.02,#a29283,0.02,#866b62,0.01,#907a70
1241,0.84,#141a16,0.04,#6c5851,0.03,#2c3e40,0.03,#3a4e50,0.02,#503931,0.02,#a39585,0.01,#8b7369,0.01,#5c423d
1242,0.85,#141a15,0.04,#68564e,0.03,#2c3e3f,0.03,#4e382f,0.02,#384c4d,0.02,#a19383,0.01,#897066,0.0,#5a413c
1243,0.84,#141a15,0.04,#69564f,0.03,#384c4d,0.03,#2b3d3f,0.03,#4f3930,0.02,#a19383,0.01,#897066,0.0,#917b71
1244,0.74,#1c1e19,0.06,#736c69,0.04,#5a3f36,0.03,#8aa9a2,0.03,#34494e,0.03,#a9bdaf,0.03,#729393,0.02,#3e5b63
1245,0.74,#1c1e18,0.06,#726b69,0.05,#5a3f36,0.04,#a7bbad,0.03,#34494d,0.03,#88a8a1,0.02,#729293,0.02,#3d5b63
1246,0.75,#1c1e18,0.06,#736d6a,0.04,#5a3f35,0.03,#89a9a1,0.03,#34494d,0.03,#a8bdaf,0.02,#729393,0.02,#3e5c63
1247,0.75,#1c1e19,0.06,#746c69,0.04,#5b3f36,0.04,#8baba2,0.03,#354a4d,0.03,#aabeaf,0.03,#739393,0.02,#3f5d64
1248,0.91,#141b16,0.03,#283a3c,0.02,#67534d,0.01,#33484c,0.01,#4c362d,0.01,#a19587,0.0,#866e66,0.0,#573e39
1249,0.86,#151b17,0.04,#5e5755,0.04,#2c3e40,0.03,#364c4f,0.01,#4e382f,0.01,#a69e8f,0.01,#866f67,0.0,#55413e
1250,0.91,#121814,0.03,#7c7069,0.02,#344d51,0.02,#455f62,0.01,#5f463e,0.01,#b9b9a4,0.0,#6a514b,0.0,#aaa192
1251,0.74,#1f2217,0.14,#61706c,0.04,#425452,0.03,#a4b5a9,0.02,#3a4a49,0.01,#809294,0.01,#8ca19c,0.0,#3f4f44
1252,0.74,#1f2217,0.14,#61706c,0.04,#425350,0.03,#a4b5a8,0.02,#3a4a49,0.01,#7d8f91,0.01,#8ca09a,0.0,#514136
1253,0.81,#171c14,0.11,#626765,0.03,#97a09b,0.02,#3e4e50,0.01,#374647,0.01,#838b8b,0.01,#54392f,0.0,#927571
1254,0.8,#161b12,0.07,#616260,0.05,#404c4b,0.02,#8c9390,0.02,#777e7f,0.02,#344040,0.02,#9ea6a0,0.0,#56372e
1255,0.8,#161a12,0.09,#5c5f5d,0.04,#3e4a4a,0.02,#9aa09b,0.01,#33403f,0.01,#767c7d,0.01,#858b89,0.0,#52342b
1256,0.8,#161b13,0.1,#666967,0.04,#414e4f,0.02,#8e9591,0.01,#7f8585,0.01,#344344,0.01,#a1a8a2,0.0,#583a30
1257,0.81,#161b13,0.12,#636866,0.02,#969f99,0.01,#374648,0.01,#3e4f53,0.01,#503c31,0.01,#828a89,0.0,#8d8e8b
1258,0.8,#161b13,0.12,#626766,0.03,#969d99,0.02,#3d4d50,0.01,#344446,0.01,#828988,0.01,#52382e,0.0,#947775
1259,0.82,#161b13,0.12,#626765,0.02,#959c98,0.02,#3d4d4f,0.01,#354446,0.01,#828988,0.01,#4f392e,0.0,#8c8d8a
1260,0.82,#171c13,0.12,#646967,0.02,#384749,0.01,#405054,0.01,#9ba49e,0.01,#878e8c,0.0,#533d34,0.0,#949390
1261,0.83,#171c13,0.11,#646866,0.02,#415153,0.02,#384749,0.01,#9aa29c,0.01,#878f8d,0.01,#553931,0.0,#997d79
1262,0.83,#161b13,0.1,#646866,0.02,#384749,0.01,#405153,0.01,#9aa39e,0.01,#868e8c,0.01,#563b32,0.0,#967a77
1263,0.83,#161b13,0.1,#656865,0.02,#415154,0.02,#384749,0.02,#9fa7a1,0.01,#878f8d,0.01,#573b33,0.0,#997b7b
1264,0.73,#181d17,0.07,#6f726f,0.04,#2e484d,0.04,#83aca4,0.04,#6e9493,0.03,#574037,0.03,#3b5f65,0.02,#adc1b1
1265,0.73,#181d18,0.07,#70736f,0.04,#83aca3,0.03,#2e494d,0.03,#6d9492,0.03,#584238,0.03,#3b5f65,0.02,#adbeae
1266,0.73,#191d18,0.08,#70736f,0.04,#82aba3,0.03,#584138,0.03,#2e484d,0.03,#3b5e64,0.03,#6d9492,0.03,#acbbab
1267,0.73,#181d18,0.07,#70706d,0.04,#82aba4,0.04,#2d484c,0.04,#6d9392,0.03,#574137,0.03,#3b5e65,0.03,#acbcac
1268,0.83,#161a16,0.05,#67524c,0.04,#4a382f,0.03,#9a9186,0.02,#806b65,0.01,#31484d,0.01,#293b3e,0.0,#877772
1269,0.83,#161a16,0.05,#67534d,0.04,#4a382f,0.03,#9b9387,0.02,#806c65,0.01,#2a3c3f,0.01,#32494d,0.01,#8a7973
1270,0.83,#161a16,0.05,#68544e,0.04,#4b3930,0.03,#9c9589,0.02,#826f68,0.01,#2a3e41,0.01,#324a4e,0.0,#8c7d77
1271,0.84,#161b17,0.05,#6c5752,0.04,#4e3a32,0.03,#9e968b,0.02,#85736d,0.01,#2b3f43,0.01,#324b50,0.0,#8e807a
1272,0.8,#191f17,0.07,#646f6d,0.05,#495756,0.03,#d7ddc9,0.02,#414d4c,0.01,#86979b,0.01,#99aaa8,0.0,#5b452b
1273,0.82,#192017,0.07,#64706e,0.04,#495856,0.03,#d7ddc9,0.02,#404e4d,0.01,#87989b,0.01,#99aaa9,0.0,#5c452b
1274,0.81,#1a2018,0.07,#65706f,0.04,#4a5857,0.03,#d8ddc9,0.03,#414e4d,0.01,#88999c,0.0,#9aaaa9,0.0,#5a472f
1275,0.81,#1a2017,0.07,#64706f,0.05,#495856,0.03,#d7ddc9,0.02,#404e4d,0.01,#87999c,0.0,#99aaa8,0.0,#5b452c
1276,0.8,#1a2017,0.08,#646f6d,0.05,#495856,0.03,#d7ddc9,0.02,#404e4d,0.01,#87999b,0.01,#99a9a8,0.0,#5c452a
1277,0.8,#192017,0.08,#646f6e,0.05,#495856,0.03,#d6dcc8,0.02,#404e4d,0.01,#87989b,0.01,#99a9a7,0.0,#595743
1278,0.8,#192018,0.08,#646f6e,0.04,#4a5958,0.03,#d7dcc9,0.02,#414e4d,0.01,#87999c,0.0,#99aaa8,0.0,#585745
1279,0.81,#192017,0.08,#646f6e,0.04,#495857,0.03,#d7ddc9,0.02,#414e4d,0.01,#87999c,0.0,#99aaa8,0.0,#585744
1280,0.81,#192017,0.08,#64706e,0.04,#495856,0.03,#d7ddc9,0.02,#414e4d,0.01,#87989b,0.0,#99a9a8,0.0,#575744
1281,0.81,#192017,0.08,#636f6d,0.04,#495857,0.03,#d7ddc9,0.02,#404e4d,0.01,#87999c,0.0,#98a9a9,0.0,#575744
1282,0.81,#1a2017,0.08,#65706f,0.04,#4a5857,0.03,#d8ddc9,0.01,#404e4e,0.01,#87999c,0.01,#99a9a8,0.0,#595743
1283,0.8,#191f17,0.08,#636f6d,0.04,#495857,0.03,#d7ddc9,0.02,#404e4d,0.01,#87999c,0.0,#98a9a8,0.0,#5a462c
1284,0.8,#191f17,0.08,#64706e,0.05,#495857,0.03,#d8ddc9,0.02,#404d4d,0.01,#86999c,0.01,#98aaa8,0.0,#5b462b
1285,0.8,#191f17,0.08,#646f6e,0.05,#4a5857,0.03,#d8ddc9,0.02,#404d4d,0.01,#87999c,0.01,#99aaa8,0.0,#5c462a
1286,0.8,#191f17,0.08,#646f6d,0.05,#495857,0.03,#d7ddc9,0.02,#404d4d,0.01,#86989c,0.01,#98a9a8,0.0,#5b462a
1287,0.8,#191f17,0.08,#646f6d,0.05,#4a5857,0.03,#d7ddc9,0.02,#404e4d,0.01,#87989c,0.01,#98a9a8,0.0,#5c4629
1288,0.8,#191f17,0.08,#646f6e,0.05,#4a5857,0.03,#d8ddc9,0.02,#404d4d,0.01,#87999c,0.01,#99aaa9,0.0,#5b462b
1289,0.8,#191f17,0.08,#646f6e,0.05,#4a5958,0.03,#d7ddc9,0.02,#414e4e,0.02,#87999c,0.0,#99aaa9,0.0,#5b472c
1290,0.87,#1b221b,0.06,#3d4b4f,0.04,#4a5a5f,0.03,#656b6f,0.0,#5c463e,0.0,#634e4b,0.0,#7f8e95,0.0,#e7dbc1
1291,0.87,#1c221b,0.06,#3e4c4f,0.03,#4a5a5e,0.03,#656b6e,0.0,#5c463e,0.0,#66504d,0.0,#e9ddc1,0.0,#819196
1292,0.87,#1c221b,0.07,#3e4b4f,0.04,#4b5a5f,0.03,#666c6f,0.0,#5c473e,0.0,#664f4c,0.0,#7f8f95,0.0,#e7dabf
1293,0.88,#1c221b,0.06,#3f4c4f,0.03,#4c5b5f,0.02,#676c6f,0.0,#5c473d,0.0,#66504d,0.0,#e8dabf,0.0,#859296
